"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"08/06/2021","42","","Branch Street","29-510-0093","AQS"
"08/07/2021","38","","Branch Street","29-510-0093","AQS"
"08/08/2021","46","","FIRESTATION #1","17-119-1007","AQS"
"08/09/2021","24","","Branch Street","29-510-0093","AQS"
"08/10/2021","24","","Branch Street","29-510-0093","AQS"
"08/11/2021","29","","Branch Street","29-510-0093","AQS"
"08/12/2021","26","","Branch Street","29-510-0093","AQS"
"08/13/2021","18","","Branch Street","29-510-0093","AQS"
"08/14/2021","19","","Branch Street","29-510-0093","AQS"
"08/15/2021","18","","Branch Street","29-510-0093","AQS"
"08/16/2021","24","","Branch Street","29-510-0093","AQS"
"08/17/2021","34","","Branch Street","29-510-0093","AQS"
"08/18/2021","52","","Branch Street","29-510-0093","AQS"
"08/19/2021","31","","Branch Street","29-510-0093","AQS"
"08/20/2021","44","","Branch Street","29-510-0093","AQS"
"08/21/2021","16","","Branch Street","29-510-0093","AQS"
"08/22/2021","19","","Branch Street","29-510-0093","AQS"
"08/23/2021","34","","Branch Street","29-510-0093","AQS"
"08/24/2021","30","","Branch Street","29-510-0093","AQS"
"08/25/2021","39","","Branch Street","29-510-0093","AQS"
"08/26/2021","47","","Branch Street","29-510-0093","AQS"
"08/27/2021","37","","Branch Street","29-510-0093","AQS"
"08/28/2021","44","","Branch Street","29-510-0093","AQS"
"08/29/2021","26","","Branch Street","29-510-0093","AQS"
"08/30/2021","35","","Branch Street","29-510-0093","AQS"
"08/31/2021","18","","Branch Street","29-510-0093","AQS"
"09/01/2021","20","","Blair Street","29-510-0085","AQS"
"09/02/2021","31","","Branch Street","29-510-0093","AQS"
"09/03/2021","33","","Branch Street","29-510-0093","AQS"
"09/04/2021","15","","Branch Street","29-510-0093","AQS"
"09/05/2021","15","","Branch Street","29-510-0093","AQS"
"09/06/2021","19","","Branch Street","29-510-0093","AQS"
"09/07/2021","34","","FIRESTATION #1","17-119-1007","AQS"
"09/08/2021","36","","Branch Street","29-510-0093","AQS"
"09/09/2021","42","","Branch Street","29-510-0093","AQS"
"09/10/2021","57","","Branch Street","29-510-0093","AQS"
"09/11/2021","41","","Branch Street","29-510-0093","AQS"
"09/12/2021","47","","Branch Street","29-510-0093","AQS"
"09/13/2021","52","","Branch Street","29-510-0093","AQS"
"09/14/2021","26","","Branch Street","29-510-0093","AQS"
"09/15/2021","20","","Blair Street","29-510-0085","AQS"
"09/16/2021","31","","Branch Street","29-510-0093","AQS"
"09/17/2021","31","","Branch Street","29-510-0093","AQS"
"09/18/2021","19","","Branch Street","29-510-0093","AQS"
"09/19/2021","17","","FIRESTATION #1","17-119-1007","AQS"
"09/20/2021","27","","Branch Street","29-510-0093","AQS"
"09/21/2021","18","","Branch Street","29-510-0093","AQS"
"09/22/2021","30","","Branch Street","29-510-0093","AQS"
"09/23/2021","24","","Branch Street","29-510-0093","AQS"
"09/24/2021","33","","Branch Street","29-510-0093","AQS"
"09/25/2021","17","","FIRESTATION #1","17-119-1007","AQS"
"09/26/2021","34","","Branch Street","29-510-0093","AQS"
"09/27/2021","38","","Branch Street","29-510-0093","AQS"
"09/28/2021","44","","Branch Street","29-510-0093","AQS"
"09/29/2021","67","","Branch Street","29-510-0093","AQS"
"09/30/2021","48","","Branch Street","29-510-0093","AQS"
"10/01/2021","42","","Branch Street","29-510-0093","AQS"
"10/02/2021","16","","Branch Street","29-510-0093","AQS"
"10/03/2021","10","","Blair Street","29-510-0085","AQS"
"10/04/2021","20","","Branch Street","29-510-0093","AQS"
"10/05/2021","20","","Branch Street","29-510-0093","AQS"
"10/06/2021","19","","Branch Street","29-510-0093","AQS"
"10/07/2021","19","","Branch Street","29-510-0093","AQS"
"10/08/2021","27","","Branch Street","29-510-0093","AQS"
"10/09/2021","35","","Branch Street","29-510-0093","AQS"
"10/10/2021","44","","Branch Street","29-510-0093","AQS"
"10/11/2021","19","","Branch Street","29-510-0093","AQS"
"10/12/2021","43","","Branch Street","29-510-0093","AQS"
"10/13/2021","36","","FIRESTATION #1","17-119-1007","AQS"
"10/14/2021","18","","Branch Street","29-510-0093","AQS"
"10/15/2021","15","","Branch Street","29-510-0093","AQS"
"10/16/2021","13","","Branch Street","29-510-0093","AQS"
"10/17/2021","17","","Branch Street","29-510-0093","AQS"
"10/18/2021","36","","Branch Street","29-510-0093","AQS"
"10/19/2021","55","","Branch Street","29-510-0093","AQS"
"10/20/2021","54","","Branch Street","29-510-0093","AQS"
"10/21/2021","19","","Branch Street","29-510-0093","AQS"
"10/22/2021","24","","Branch Street","29-510-0093","AQS"
"10/23/2021","26","","Branch Street","29-510-0093","AQS"
"10/24/2021","20","","Branch Street","29-510-0093","AQS"
"10/25/2021","10","","Branch Street","29-510-0093","AQS"
"10/26/2021","19","","Branch Street","29-510-0093","AQS"
"10/27/2021","38","","Branch Street","29-510-0093","AQS"
"10/28/2021","16","","Blair Street","29-510-0085","AQS"
"10/29/2021","8","","Branch Street","29-510-0093","AQS"
"10/30/2021","12","","Blair Street","29-510-0085","AQS"
"10/31/2021","14","","Branch Street","29-510-0093","AQS"
"11/01/2021","28","","Branch Street","29-510-0093","AQS"
"11/02/2021","22","","Branch Street","29-510-0093","AQS"
"11/03/2021","31","","Branch Street","29-510-0093","AQS"
"11/04/2021","55","","Branch Street","29-510-0093","AQS"
"11/05/2021","55","","Branch Street","29-510-0093","AQS"
"11/06/2021","35","","FIRESTATION #1","17-119-1007","AQS"
"11/07/2021","35","","Branch Street","29-510-0093","AQS"
"11/08/2021","73","","Branch Street","29-510-0093","AQS"
"11/09/2021","54","","Branch Street","29-510-0093","AQS"
"11/10/2021","56","","Branch Street","29-510-0093","AQS"
"11/11/2021","19","","Branch Street","29-510-0093","AQS"
"11/12/2021","18","","FIRESTATION #1","17-119-1007","AQS"
"11/13/2021","8","","Branch Street","29-510-0093","AQS"
"11/14/2021","12","","Branch Street","29-510-0093","AQS"
"11/15/2021","41","","Branch Street","29-510-0093","AQS"
"11/16/2021","52","","Branch Street","29-510-0093","AQS"
"11/17/2021","29","","Branch Street","29-510-0093","AQS"
"11/18/2021","21","","Branch Street","29-510-0093","AQS"
"11/19/2021","49","","Branch Street","29-510-0093","AQS"
"11/20/2021","19","","Branch Street","29-510-0093","AQS"
"11/21/2021","27","","Branch Street","29-510-0093","AQS"
"11/22/2021","24","","Branch Street","29-510-0093","AQS"
"11/23/2021","55","","Branch Street","29-510-0093","AQS"
"11/24/2021","61","","Branch Street","29-510-0093","AQS"
"11/25/2021","16","","Branch Street","29-510-0093","AQS"
"11/26/2021","18","","Branch Street","29-510-0093","AQS"
"11/27/2021","19","","Branch Street","29-510-0093","AQS"
"11/28/2021","22","","Branch Street","29-510-0093","AQS"
"11/29/2021","43","","Branch Street","29-510-0093","AQS"
"11/30/2021","64","","Branch Street","29-510-0093","AQS"
"12/01/2021","44","","Branch Street","29-510-0093","AQS"
"12/02/2021","40","","Branch Street","29-510-0093","AQS"
"12/03/2021","57","","Branch Street","29-510-0093","AQS"
"12/04/2021","20","","Branch Street","29-510-0093","AQS"
"12/05/2021","21","","Branch Street","29-510-0093","AQS"
"12/06/2021","23","","FIRESTATION #1","17-119-1007","AQS"
"12/07/2021","21","","Blair Street","29-510-0085","AQS"
"12/08/2021","27","","Blair Street","29-510-0085","AQS"
"12/09/2021","55","","Branch Street","29-510-0093","AQS"
"12/10/2021","21","","Branch Street","29-510-0093","AQS"
"12/11/2021","14","","Branch Street","29-510-0093","AQS"
"12/12/2021","17","","FIRESTATION #1","17-119-1007","AQS"
"12/13/2021","34","","Branch Street","29-510-0093","AQS"
"12/14/2021","31","","Branch Street","29-510-0093","AQS"
"12/15/2021","20","","Branch Street","29-510-0093","AQS"
"12/16/2021","70","","Branch Street","29-510-0093","AQS"
"12/17/2021","19","","Branch Street","29-510-0093","AQS"
"12/18/2021","19","","Branch Street","29-510-0093","AQS"
"12/19/2021","26","","Branch Street","29-510-0093","AQS"
"12/20/2021","43","","Branch Street","29-510-0093","AQS"
"12/21/2021","38","","Branch Street","29-510-0093","AQS"
"12/22/2021","31","","Branch Street","29-510-0093","AQS"
"12/23/2021","35","","Branch Street","29-510-0093","AQS"
"12/24/2021","18","","FIRESTATION #1","17-119-1007","AQS"
"12/25/2021","20","","Blair Street","29-510-0085","AQS"
"12/26/2021","25","","Branch Street","29-510-0093","AQS"
"12/27/2021","22","","Branch Street","29-510-0093","AQS"
"12/28/2021","14","","Branch Street","29-510-0093","AQS"
"12/29/2021","22","","Branch Street","29-510-0093","AQS"
"12/30/2021","32","","Branch Street","29-510-0093","AQS"
"12/31/2021","22","","Branch Street","29-510-0093","AQS"
"01/01/2022","10","","Branch Street","29-510-0093","AQS"
"01/02/2022","13","","Branch Street","29-510-0093","AQS"
"01/03/2022","26","","Branch Street","29-510-0093","AQS"
"01/04/2022","26","","Branch Street","29-510-0093","AQS"
"01/05/2022","31","","FIRESTATION #1","17-119-1007","AQS"
"01/06/2022","25","","Branch Street","29-510-0093","AQS"
"01/07/2022","31","","Branch Street","29-510-0093","AQS"
"01/08/2022","18","","Branch Street","29-510-0093","AQS"
"01/09/2022","14","","Branch Street","29-510-0093","AQS"
"01/10/2022","31","","Branch Street","29-510-0093","AQS"
"01/11/2022","37","","Branch Street","29-510-0093","AQS"
"01/12/2022","50","","Branch Street","29-510-0093","AQS"
"01/13/2022","41","","Branch Street","29-510-0093","AQS"
"01/14/2022","48","","Branch Street","29-510-0093","AQS"
"01/15/2022","16","","Blair Street","29-510-0085","AQS"
"01/16/2022","19","","Branch Street","29-510-0093","AQS"
"01/17/2022","28","","Branch Street","29-510-0093","AQS"
"01/18/2022","19","","Blair Street","29-510-0085","AQS"
"01/19/2022","11","","Blair Street","29-510-0085","AQS"
"01/20/2022","27","","Branch Street","29-510-0093","AQS"
"01/21/2022","31","","Branch Street","29-510-0093","AQS"
"01/22/2022","23","","Branch Street","29-510-0093","AQS"
"01/23/2022","19","","Branch Street","29-510-0093","AQS"
"01/24/2022","19","","Branch Street","29-510-0093","AQS"
"01/25/2022","33","","Branch Street","29-510-0093","AQS"
"01/26/2022","36","","Branch Street","29-510-0093","AQS"
"01/27/2022","26","","Branch Street","29-510-0093","AQS"
"01/28/2022","22","","Branch Street","29-510-0093","AQS"
"01/29/2022","27","","Branch Street","29-510-0093","AQS"
"01/30/2022","23","","Branch Street","29-510-0093","AQS"
"01/31/2022","52","","Branch Street","29-510-0093","AQS"
"02/01/2022","36","","Branch Street","29-510-0093","AQS"
"02/02/2022","9","","Blair Street","29-510-0085","AQS"
"02/03/2022","10","","Blair Street","29-510-0085","AQS"
"02/04/2022","13","","Branch Street","29-510-0093","AQS"
"02/05/2022","21","","Blair Street","29-510-0085","AQS"
"02/06/2022","22","","Branch Street","29-510-0093","AQS"
"02/07/2022","27","","Blair Street","29-510-0085","AQS"
"02/08/2022","24","","Branch Street","29-510-0093","AQS"
"02/09/2022","23","","Branch Street","29-510-0093","AQS"
"02/10/2022","26","","FIRESTATION #1","17-119-1007","AQS"
"02/11/2022","26","","Branch Street","29-510-0093","AQS"
"02/12/2022","12","","Branch Street","29-510-0093","AQS"
"02/13/2022","19","","Branch Street","29-510-0093","AQS"
"02/14/2022","35","","Branch Street","29-510-0093","AQS"
"02/15/2022","44","","Branch Street","29-510-0093","AQS"
"02/16/2022","50","","Branch Street","29-510-0093","AQS"
"02/17/2022","15","","Branch Street","29-510-0093","AQS"
"02/18/2022","14","","Branch Street","29-510-0093","AQS"
"02/19/2022","13","","Branch Street","29-510-0093","AQS"
"02/20/2022","26","","Branch Street","29-510-0093","AQS"
"02/21/2022","37","","Branch Street","29-510-0093","AQS"
"02/22/2022","11","","Branch Street","29-510-0093","AQS"
"02/23/2022","23","","Branch Street","29-510-0093","AQS"
"02/24/2022","11","","Blair Street","29-510-0085","AQS"
"02/25/2022","19","","Branch Street","29-510-0093","AQS"
"02/26/2022","21","","Blair Street","29-510-0085","AQS"
"02/27/2022","31","","Branch Street","29-510-0093","AQS"
"02/28/2022","57","","FIRESTATION #1","17-119-1007","AQS"
"03/01/2022","49","","Branch Street","29-510-0093","AQS"
"03/02/2022","72","","Branch Street","29-510-0093","AQS"
"03/03/2022","33","","Blair Street","29-510-0085","AQS"
"03/04/2022","44","","Branch Street","29-510-0093","AQS"
"03/05/2022","87","","Branch Street","29-510-0093","AQS"
"03/06/2022","14","","Branch Street","29-510-0093","AQS"
"03/07/2022","8","","Branch Street","29-510-0093","AQS"
"03/08/2022","18","","Branch Street","29-510-0093","AQS"
"03/09/2022","24","","Branch Street","29-510-0093","AQS"
"03/10/2022","27","","Branch Street","29-510-0093","AQS"
"03/11/2022","17","","Branch Street","29-510-0093","AQS"
"03/12/2022","11","","FIRESTATION #1","17-119-1007","AQS"
"03/13/2022","18","","Branch Street","29-510-0093","AQS"
"03/14/2022","56","","Branch Street","29-510-0093","AQS"
"03/15/2022","56","","Branch Street","29-510-0093","AQS"
"03/16/2022","72","","Branch Street","29-510-0093","AQS"
"03/17/2022","59","","Branch Street","29-510-0093","AQS"
"03/18/2022","15","","Branch Street","29-510-0093","AQS"
"03/19/2022","6","","Blair Street","29-510-0085","AQS"
"03/20/2022","15","","Branch Street","29-510-0093","AQS"
"03/21/2022","58","","Branch Street","29-510-0093","AQS"
"03/22/2022","14","","Blair Street","29-510-0085","AQS"
"03/23/2022","8","","Branch Street","29-510-0093","AQS"
"03/24/2022","3","","FIRESTATION #1","17-119-1007","AQS"
"03/25/2022","12","","Branch Street","29-510-0093","AQS"
"03/26/2022","10","","Branch Street","29-510-0093","AQS"
"03/27/2022","8","","Branch Street","29-510-0093","AQS"
"03/28/2022","30","","Branch Street","29-510-0093","AQS"
"03/29/2022","72","","Branch Street","29-510-0093","AQS"
"03/30/2022","26","","FIRESTATION #1","17-119-1007","AQS"
"03/31/2022","8","","Blair Street","29-510-0085","AQS"
"04/01/2022","15","","Blair Street","29-510-0085","AQS"
"04/02/2022","17","","Branch Street","29-510-0093","AQS"
"04/03/2022","13","","Branch Street","29-510-0093","AQS"
"04/04/2022","17","","Branch Street","29-510-0093","AQS"
"04/05/2022","22","","Branch Street","29-510-0093","AQS"
"04/06/2022","17","","Branch Street","29-510-0093","AQS"
"04/07/2022","11","","Branch Street","29-510-0093","AQS"
"04/08/2022","6","","Branch Street","29-510-0093","AQS"
"04/09/2022","9","","Branch Street","29-510-0093","AQS"
"04/10/2022","55","","Branch Street","29-510-0093","AQS"
"04/11/2022","41","","FIRESTATION #1","17-119-1007","AQS"
"04/12/2022","26","","Branch Street","29-510-0093","AQS"
"04/13/2022","14","","Branch Street","29-510-0093","AQS"
"04/14/2022","17","","Branch Street","29-510-0093","AQS"
"04/15/2022","41","","Branch Street","29-510-0093","AQS"
"04/16/2022","17","","Branch Street","29-510-0093","AQS"
"04/17/2022","16","","Branch Street","29-510-0093","AQS"
"04/18/2022","14","","Branch Street","29-510-0093","AQS"
"04/19/2022","30","","Branch Street","29-510-0093","AQS"
"04/20/2022","30","","Branch Street","29-510-0093","AQS"
"04/21/2022","24","","Branch Street","29-510-0093","AQS"
"04/22/2022","55","","Branch Street","29-510-0093","AQS"
"04/23/2022","79","","Branch Street","29-510-0093","AQS"
"04/24/2022","19","","Branch Street","29-510-0093","AQS"
"04/25/2022","14","","Branch Street","29-510-0093","AQS"
"04/26/2022","29","","Branch Street","29-510-0093","AQS"
"04/27/2022","70","","Branch Street","29-510-0093","AQS"
"04/28/2022","54","","Branch Street","29-510-0093","AQS"
"04/29/2022","57","","Branch Street","29-510-0093","AQS"
"04/30/2022","29","","Branch Street","29-510-0093","AQS"
"05/01/2022","14","","Branch Street","29-510-0093","AQS"
"05/02/2022","37","","Branch Street","29-510-0093","AQS"
"05/03/2022","16","","Branch Street","29-510-0093","AQS"
"05/04/2022","19","","Branch Street","29-510-0093","AQS"
"05/05/2022","13","","Blair Street","29-510-0085","AQS"
"05/06/2022","9","","Branch Street","29-510-0093","AQS"
"05/07/2022","16","","Branch Street","29-510-0093","AQS"
"05/08/2022","19","","Branch Street","29-510-0093","AQS"
"05/09/2022","94","","Branch Street","29-510-0093","AQS"
"05/10/2022","53","","Branch Street","29-510-0093","AQS"
"05/11/2022","53","","Branch Street","29-510-0093","AQS"
"05/12/2022","65","","Branch Street","29-510-0093","AQS"
"05/13/2022","55","","Branch Street","29-510-0093","AQS"
"05/14/2022","27","","Branch Street","29-510-0093","AQS"
"05/15/2022","29","","Branch Street","29-510-0093","AQS"
"05/16/2022","29","","Branch Street","29-510-0093","AQS"
"05/17/2022","70","","Branch Street","29-510-0093","AQS"
"05/18/2022","19","","Branch Street","29-510-0093","AQS"
"05/19/2022","31","","Branch Street","29-510-0093","AQS"
"05/20/2022","44","","Branch Street","29-510-0093","AQS"
"05/21/2022","17","","Branch Street","29-510-0093","AQS"
"05/22/2022","13","","Branch Street","29-510-0093","AQS"
"05/23/2022","17","","Branch Street","29-510-0093","AQS"
"05/24/2022","25","","Branch Street","29-510-0093","AQS"
"05/25/2022","21","","Branch Street","29-510-0093","AQS"
"05/26/2022","22","","Blair Street","29-510-0085","AQS"
"05/27/2022","13","","Branch Street","29-510-0093","AQS"
"05/28/2022","14","","Branch Street","29-510-0093","AQS"
"05/29/2022","57","","FIRESTATION #1","17-119-1007","AQS"
"05/30/2022","32","","Branch Street","29-510-0093","AQS"
"05/31/2022","47","","Branch Street","29-510-0093","AQS"
"06/01/2022","19","","Branch Street","29-510-0093","AQS"
"06/02/2022","31","","Branch Street","29-510-0093","AQS"
"06/03/2022","40","","Branch Street","29-510-0093","AQS"
"06/04/2022","28","","Blair Street","29-510-0085","AQS"
"06/05/2022","31","","Branch Street","29-510-0093","AQS"
"06/06/2022","32","","Branch Street","29-510-0093","AQS"
"06/07/2022","28","","Branch Street","29-510-0093","AQS"
"06/08/2022","18","","Branch Street","29-510-0093","AQS"
"06/09/2022","19","","Branch Street","29-510-0093","AQS"
"06/10/2022","28","","FIRESTATION #1","17-119-1007","AQS"
"06/11/2022","22","","Branch Street","29-510-0093","AQS"
"06/12/2022","22","","Branch Street","29-510-0093","AQS"
"06/13/2022","65","","Branch Street","29-510-0093","AQS"
"06/14/2022","87","","Branch Street","29-510-0093","AQS"
"06/15/2022","117","","Branch Street","29-510-0093","AQS"
"06/16/2022","54","","Branch Street","29-510-0093","AQS"
"06/17/2022","24","","Branch Street","29-510-0093","AQS"
"06/18/2022","15","","Blair Street","29-510-0085","AQS"
